text,url
Featured Model Collections,https://www.jax.org/jax-mice-and-services/find-mice/most-popular-jax-mice-strains
Donate a Strain,https://www.jax.org/jax-mice-and-services/colony-management/donate-a-strain
Rederivation & Strain Rescue,https://www.jax.org/jax-mice-and-services/colony-management/rederivation
outbred athymic nude,https://www.jax.org/strain/007850?featured
Black 6 DIO,https://www.jax.org/strain/380050?featured
NBSGW,https://www.jax.org/strain/026622?featured
B6,https://www.jax.org/strain/000664?featured
NSG,https://www.jax.org/strain/005557?featured
Tau P301S (PS19),https://www.jax.org/strain/008169?featured
K18-hACE2,https://www.jax.org/strain/034860?featured
NSG-MHC I/II DKO,https://www.jax.org/strain/025216?featured
MS-NASH (formerly ca...,https://www.jax.org/strain/030888?featured
"Ai14 , Ai14D or Ai14...",https://www.jax.org/strain/007914?featured
FcRn-/- hFcRn (32) T...,https://www.jax.org/strain/014565?featured
NSG-Tg(Hu-IL15),https://www.jax.org/strain/030890?featured
BALBc,https://www.jax.org/strain/000651?featured
FVB;129S6-Sncatm1Nbm Tg(SNCA)1Nbm/J,https://www.jax.org/strain/010710
available now,https://www.jax.org/strain/010710#jump-nav-6
010788,https://www.jax.org/strain/010788
010799,https://www.jax.org/strain/010799
B6;C3-Tg(Prnp-SNCA*A53T)83Vle/J,https://www.jax.org/strain/004479
available now,https://www.jax.org/strain/004479#jump-nav-6
B6.129X1-Nfe2l2tm1Ywk/J,https://www.jax.org/strain/017009
available now,https://www.jax.org/strain/017009#jump-nav-6
B6.SJL-Slc6a3tm1.1(cre)Bkmn/J,https://www.jax.org/strain/006660
available now,https://www.jax.org/strain/006660#jump-nav-6
B6.Cg-Gba1em1Mcook/J,https://www.jax.org/strain/036159
available,https://www.jax.org/strain/036159#jump-nav-6
C57BL/6-Slc6a3em1(flpo)Rcos/J,https://www.jax.org/strain/040184
available,https://www.jax.org/strain/040184#jump-nav-6
C57BL/6-Adora2aem1(cre)Rcos/J,https://www.jax.org/strain/040186
available,https://www.jax.org/strain/040186#jump-nav-6
C57BL/6-Adora2aem2(flpo)Rcos/J,https://www.jax.org/strain/040187
available,https://www.jax.org/strain/040187#jump-nav-6
C57BL/6N-Gba1tm1.1Mjff/J,https://www.jax.org/strain/019106
available,https://www.jax.org/strain/019106#jump-nav-6
C57BL/6-Drd1em1(cre)Rcos/J,https://www.jax.org/strain/040188
available,https://www.jax.org/strain/040188#jump-nav-6
C57BL/6N-Tg(Thy1-SNCA)15Mjff/J,https://www.jax.org/strain/017682
available,https://www.jax.org/strain/017682#jump-nav-6
C57BL/6-Sncatm2.1(SNCA*A53T)Mdk/J,https://www.jax.org/strain/039167
available,https://www.jax.org/strain/039167#jump-nav-6
039166,https://www.jax.org/strain/039166
039168,https://www.jax.org/strain/039168
B6(Cg)-Rab32tm1.1Ozg/J,https://www.jax.org/strain/040780
available,https://www.jax.org/strain/040780#jump-nav-6
C57BL/6-Tg(Thy1-SNCA*E35K*E46K*E61K)3817Nuber/J,https://www.jax.org/strain/041612
available,https://www.jax.org/strain/041612#jump-nav-6
B6.129S6(Cg)-Spp1tm1Blh/J,https://www.jax.org/strain/004936
available,https://www.jax.org/strain/004936#jump-nav-6
C57BL/6N-Lrrk2tm1.1Dral/J,https://www.jax.org/strain/039131
available,https://www.jax.org/strain/039131#jump-nav-6
B6JOlaHsd.129P2-Ercc1tm1Jhjh/J,https://www.jax.org/strain/040162
available,https://www.jax.org/strain/040162#jump-nav-6
B6.Cg-7630403G23RikTg(Th-cre)1Tmd/J,https://www.jax.org/strain/008601
available,https://www.jax.org/strain/008601#jump-nav-6
B6;D2-Tg(Thy1-SNCA)61Ema/RoriJ,https://www.jax.org/strain/038796
available,https://www.jax.org/strain/038796#jump-nav-6
038773,https://www.jax.org/strain/038773
B6J.B6N-Sncatm1.1(SNCA)Mdk/J,https://www.jax.org/strain/039166
available,https://www.jax.org/strain/039166#jump-nav-6
039167,https://www.jax.org/strain/039167
FVBNHanHsd.129P2-Ercc1tm1Jhjh/J,https://www.jax.org/strain/040163
available,https://www.jax.org/strain/040163#jump-nav-6
C57BL/6-Drd1em2(flpo)Rcos/J,https://www.jax.org/strain/040189
available,https://www.jax.org/strain/040189#jump-nav-6
C57BL/6-Tg(Thy1-SNCA)3877Nuber/J,https://www.jax.org/strain/041613
available,https://www.jax.org/strain/041613#jump-nav-6
041612,https://www.jax.org/strain/041612
C57BL/6-Tg(CAG-RFP/EGFP/Map1lc3b)1Hill/J,https://www.jax.org/strain/027139
available,https://www.jax.org/strain/027139#jump-nav-6
C57BL/6-Lrrk2em1Yue/J,https://www.jax.org/strain/037193
available,https://www.jax.org/strain/037193#jump-nav-6
Common Uses,https://www.jax.org/strain/010710#jump-nav-4
Genetic Background,https://www.jax.org/strain/010710#jump-nav-2
Breeding Ability,https://www.jax.org/strain/010710#jump-nav-5
Starting Price,https://www.jax.org/strain/010710#jump-nav-6
Licensing,https://www.jax.org/strain/010710#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/010710
Common Uses,https://www.jax.org/strain/004479#jump-nav-4
Genetic Background,https://www.jax.org/strain/004479#jump-nav-2
Breeding Ability,https://www.jax.org/strain/004479#jump-nav-5
Starting Price,https://www.jax.org/strain/004479#jump-nav-6
Licensing,https://www.jax.org/strain/004479#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/004479
Common Uses,https://www.jax.org/strain/017009#jump-nav-4
Genetic Background,https://www.jax.org/strain/017009#jump-nav-2
Breeding Ability,https://www.jax.org/strain/017009#jump-nav-5
Starting Price,https://www.jax.org/strain/017009#jump-nav-6
Licensing,https://www.jax.org/strain/017009#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/017009
Common Uses,https://www.jax.org/strain/006660#jump-nav-4
Genetic Background,https://www.jax.org/strain/006660#jump-nav-2
Breeding Ability,https://www.jax.org/strain/006660#jump-nav-5
Starting Price,https://www.jax.org/strain/006660#jump-nav-6
Licensing,https://www.jax.org/strain/006660#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/006660
Common Uses,https://www.jax.org/strain/036159#jump-nav-4
Genetic Background,https://www.jax.org/strain/036159#jump-nav-2
Breeding Ability,https://www.jax.org/strain/036159#jump-nav-5
Starting Price,https://www.jax.org/strain/036159#jump-nav-6
Licensing,https://www.jax.org/strain/036159#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/036159
Common Uses,https://www.jax.org/strain/040184#jump-nav-4
Genetic Background,https://www.jax.org/strain/040184#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040184#jump-nav-5
Starting Price,https://www.jax.org/strain/040184#jump-nav-6
Licensing,https://www.jax.org/strain/040184#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040184
Common Uses,https://www.jax.org/strain/040186#jump-nav-4
Genetic Background,https://www.jax.org/strain/040186#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040186#jump-nav-5
Starting Price,https://www.jax.org/strain/040186#jump-nav-6
Licensing,https://www.jax.org/strain/040186#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040186
Common Uses,https://www.jax.org/strain/040187#jump-nav-4
Genetic Background,https://www.jax.org/strain/040187#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040187#jump-nav-5
Starting Price,https://www.jax.org/strain/040187#jump-nav-6
Licensing,https://www.jax.org/strain/040187#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040187
Common Uses,https://www.jax.org/strain/019106#jump-nav-4
Genetic Background,https://www.jax.org/strain/019106#jump-nav-2
Breeding Ability,https://www.jax.org/strain/019106#jump-nav-5
Starting Price,https://www.jax.org/strain/019106#jump-nav-6
Licensing,https://www.jax.org/strain/019106#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/019106
Common Uses,https://www.jax.org/strain/040188#jump-nav-4
Genetic Background,https://www.jax.org/strain/040188#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040188#jump-nav-5
Starting Price,https://www.jax.org/strain/040188#jump-nav-6
Licensing,https://www.jax.org/strain/040188#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040188
Common Uses,https://www.jax.org/strain/017682#jump-nav-4
Genetic Background,https://www.jax.org/strain/017682#jump-nav-2
Breeding Ability,https://www.jax.org/strain/017682#jump-nav-5
Starting Price,https://www.jax.org/strain/017682#jump-nav-6
Licensing,https://www.jax.org/strain/017682#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/017682
Common Uses,https://www.jax.org/strain/039167#jump-nav-4
Genetic Background,https://www.jax.org/strain/039167#jump-nav-2
Breeding Ability,https://www.jax.org/strain/039167#jump-nav-5
Starting Price,https://www.jax.org/strain/039167#jump-nav-6
Licensing,https://www.jax.org/strain/039167#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/039167
Common Uses,https://www.jax.org/strain/040780#jump-nav-4
Genetic Background,https://www.jax.org/strain/040780#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040780#jump-nav-5
Starting Price,https://www.jax.org/strain/040780#jump-nav-6
Licensing,https://www.jax.org/strain/040780#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040780
Common Uses,https://www.jax.org/strain/041612#jump-nav-4
Genetic Background,https://www.jax.org/strain/041612#jump-nav-2
Breeding Ability,https://www.jax.org/strain/041612#jump-nav-5
Starting Price,https://www.jax.org/strain/041612#jump-nav-6
Licensing,https://www.jax.org/strain/041612#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/041612
Common Uses,https://www.jax.org/strain/004936#jump-nav-4
Genetic Background,https://www.jax.org/strain/004936#jump-nav-2
Breeding Ability,https://www.jax.org/strain/004936#jump-nav-5
Starting Price,https://www.jax.org/strain/004936#jump-nav-6
Licensing,https://www.jax.org/strain/004936#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/004936
Common Uses,https://www.jax.org/strain/039131#jump-nav-4
Genetic Background,https://www.jax.org/strain/039131#jump-nav-2
Breeding Ability,https://www.jax.org/strain/039131#jump-nav-5
Starting Price,https://www.jax.org/strain/039131#jump-nav-6
Licensing,https://www.jax.org/strain/039131#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/039131
Common Uses,https://www.jax.org/strain/040162#jump-nav-4
Genetic Background,https://www.jax.org/strain/040162#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040162#jump-nav-5
Starting Price,https://www.jax.org/strain/040162#jump-nav-6
Licensing,https://www.jax.org/strain/040162#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040162
Common Uses,https://www.jax.org/strain/008601#jump-nav-4
Genetic Background,https://www.jax.org/strain/008601#jump-nav-2
Breeding Ability,https://www.jax.org/strain/008601#jump-nav-5
Starting Price,https://www.jax.org/strain/008601#jump-nav-6
Licensing,https://www.jax.org/strain/008601#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/008601
Common Uses,https://www.jax.org/strain/038796#jump-nav-4
Genetic Background,https://www.jax.org/strain/038796#jump-nav-2
Breeding Ability,https://www.jax.org/strain/038796#jump-nav-5
Starting Price,https://www.jax.org/strain/038796#jump-nav-6
Licensing,https://www.jax.org/strain/038796#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/038796
Common Uses,https://www.jax.org/strain/039166#jump-nav-4
Genetic Background,https://www.jax.org/strain/039166#jump-nav-2
Breeding Ability,https://www.jax.org/strain/039166#jump-nav-5
Starting Price,https://www.jax.org/strain/039166#jump-nav-6
Licensing,https://www.jax.org/strain/039166#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/039166
Common Uses,https://www.jax.org/strain/040163#jump-nav-4
Genetic Background,https://www.jax.org/strain/040163#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040163#jump-nav-5
